"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Andy Janovich","DEN","2.6","9.5","0.1","5.5","39.9","0.3","0.0","7.3"
"Jeff Wilson","SF","10.8","39.0","0.3","1.5","12.6","0.1","0.0","7.2"
"Patrick DiMarco","BUF","7.1","21.3","0.1","3.6","28.3","0.1","0.0","6.6"
"Taquan Mizzell","CHI","7.6","24.7","0.1","3.5","29.1","0.1","0.0","6.5"
"Jamize Olawale","DAL","6.8","17.8","0.1","3.8","28.7","0.2","0.0","6.2"
"DeAndre Washington","OAK","8.8","32.4","0.2","1.5","13.8","0.0","0.0","6.0"
"Garrett Griffin","NO","5.1","19.0","0.2","2.7","22.5","0.1","0.0","5.8"
"Derek Watt","LAC","5.1","15.1","0.1","3.7","22.3","0.2","0.0","5.6"
"Roosevelt Nix","PIT","4.0","9.2","0.1","4.9","33.7","0.1","0.0","5.5"
"Samaje Perine","WAS","5.0","22.4","0.2","1.2","17.8","0.1","0.0","5.5"
"Nick Bellore","SEA","5.0","11.5","0.1","3.9","29.1","0.2","0.0","5.3"
"Tra Carson","GB","4.3","16.9","0.2","1.6","13.7","0.2","0.0","5.2"
"Troymaine Pope","LAC","4.2","14.9","0.1","2.3","22.1","0.1","0.0","4.8"
"Taiwan Jones","HOU","6.7","13.7","0.0","2.3","22.4","0.1","0.0","4.5"
"Dare Ogunbowale","TB","4.0","14.8","0.1","3.0","19.6","0.1","0.0","4.3"
"Kenneth Farrow","MIA","3.7","15.5","0.0","2.2","20.5","0.1","0.0","4.2"
"Shaun Wilson","WAS","4.3","18.6","0.1","1.4","11.7","0.0","0.0","4.0"
"Keith Smith","OAK","4.8","8.0","0.0","3.7","24.6","0.1","0.0","4.0"
"Tyler Ervin","BAL","2.8","12.5","0.1","1.8","20.3","0.0","0.0","3.9"
"Ricky Ortiz","ATL","4.4","11.6","0.1","2.3","13.0","0.1","0.0","3.4"
"Kenjon Barner","ATL","4.2","15.4","0.1","1.8","11.5","0.0","0.0","3.2"
"Jeremy McNichols","TEN","3.6","13.5","0.1","1.7","10.3","0.0","0.0","3.1"
